stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
ABS,,Valencia - Bus Station,"Stop in front of the station, Carrer de Menéndez Pidal",39.480533,-0.387409,Europe/Madrid,1
ACX,,Zaragoza,,41.659501,-0.911349,Europe/Madrid,1
LJU,,Ljubljana,,46.057742,14.509650,Europe/Ljubljana,1
ABT,,Alicante,,38.337504,-0.491494,Europe/Paris,1
MIR,,Mirandela,,41.481265,-7.180843,Europe/Lisbon,1
AVR,,Vila Real,,41.299746,-7.749872,Europe/Lisbon,1
AAM,,Amarante,,41.266060,-8.072211,Europe/Lisbon,1
SEL,,Basel,,47.546101,7.589041,Europe/Zurich,1
ZRC,,Zürich,,47.381190,8.537474,Europe/Zurich,1
XMF,,Montbéliard,,47.508948,6.801954,Europe/Paris,1
ABW,,Benidorm - Bus Station,,38.550283,-0.125306,Europe/Madrid,1
ABZ,,Castellon,,39.988933,-0.051424,Europe/Madrid,1
AVA,,Valladolid,,41.641141,-4.732084,Europe/Madrid,1
GRN,,Groningen,,53.211663,6.566262,Europe/Amsterdam,1
ARK,,Milan Bergamo - Airport,,45.665750,9.697250,Europe/Rome,1
CAH,,Cahors,,44.451242,1.438392,Europe/Paris,1
XCX,,Carhaix-Plouguer Festival,,48.278300,-3.562310,Europe/Paris,1
CLI,,Clisson - Hellfest,,47.085867,-1.287522,Europe/Paris,1
SLZ,,Salzburg P&R South,,47.769222,13.070997,Europe/Vienna,1
BSV,,Bratislava,,48.146782,17.128777,Europe/Bratislava,1
VIE,,Vienna,,48.190755,16.414215,Europe/Vienna,1
PIL,,Pilsen - CAN Husova,,49.746331,13.362978,Europe/Prague,1
PRF,,Prague - Florenc,,50.089361,14.440614,Europe/Prague,1
AVL,,Ávila,,40.659085,-4.682273,Europe/Madrid,1
HEI,,Heidelberg,,49.406122,8.673125,Europe/Berlin,1
NAS,,Naples,,40.851143,14.274977,Europe/Rome,1
DIF,,Differdange,,49.520709,5.899611,Europe/Luxembourg,1
MMN,,Montemor-o-Novo,,38.648837,-8.211316,Europe/Lisbon,1
STB,,Setúbal,,38.525805,-8.889506,Europe/Lisbon,1
ELV,,Elvas,,38.878125,-7.168441,Europe/Lisbon,1
SIN,,Sintra,,38.802412,-9.377117,Europe/Lisbon,1
CAS,,Cascais,,38.737521,-9.394960,Europe/Lisbon,1
BUD,,Budapest - Népliget,,47.474982,19.098993,Europe/Budapest,1
GAP,,Gap,,44.577865,6.126030,Europe/Paris,1
MGE,,Montdauphin - Guillestre,,44.674680,6.615902,Europe/Paris,1
RDZ,,Rodez,,44.362346,2.582118,Europe/Paris,1
LBI,,Albi,,43.924892,2.147198,Europe/Paris,1
ACC,,Badajoz,,38.866574,-6.974121,Europe/Madrid,1
CHS,,Charleroi - Sud,,50.403762,4.437956,Europe/Brussels,1
BUK,,Budapest - Kelenföld,,47.463490,19.022745,Europe/Budapest,1
ABU,,Burgos,,42.338250,-3.701233,Europe/Madrid,1
ACA,,Caceres,,39.460173,-6.382434,Europe/Madrid,1
AGR,,Ciudad Rodrigo,,40.601641,-6.531847,Europe/Madrid,1
AHU,,Huelva,,37.257467,-6.957569,Europe/Madrid,1
AML,,Malaga,,36.712184,-4.434517,Europe/Madrid,1
AME,,Merida,,38.914714,-6.357817,Europe/Madrid,1
ASN,,Salamanca,,40.970416,-5.674880,Europe/Madrid,1
ASE,,Sevilla Plaza de Armas,,37.391871,-6.003953,Europe/Madrid,1
VTR,,Vitoria,,42.859118,-2.684330,Europe/Madrid,1
ALU,,Albufeira,,37.091650,-8.255178,Europe/Lisbon,1
AVE,,Aveiro,,40.644037,-8.639200,Europe/Lisbon,1
CSO,,Castelo Branco,,39.818722,-7.489639,Europe/Lisbon,1
ACO,,Coimbra,,40.220705,-8.439670,Europe/Lisbon,1
AFA,,Faro,,37.011814,-7.930627,Europe/Lisbon,1
AFT,,Fatima,,39.628731,-8.679051,Europe/Lisbon,1
AGA,,Guarda,,40.534367,-7.263578,Europe/Lisbon,1
PAT,,Porto - Airport,,41.235425,-8.669634,Europe/Lisbon,1
ALA,,Lagos,,37.107408,-8.676290,Europe/Lisbon,1
ALR,,Leiria,,39.746657,-8.804473,Europe/Lisbon,1
APL,,Ponte de Lima,,41.759944,-8.579915,Europe/Lisbon,1
APO,,Portimao,,37.148554,-8.536107,Europe/Lisbon,1
STM,,Santarem,,39.236210,-8.687715,Europe/Lisbon,1
VLF,,to delete,,40.607391,-6.826986,Europe/Lisbon,1
AVS,,Viseu,,40.661635,-7.917515,Europe/Lisbon,1
